Age,Distance to station,Stores,Price,Location
32.0,84.87882,10,37.9,3
19.5,306.5947,9,42.2,3
13.3,561.9845,5,47.3,3
13.3,561.9845,5,54.8,3
5.0,390.5684,5,43.1,3
7.1,2175.03,3,32.1,2
34.5,623.4731,7,40.3,3
20.3,287.6025,6,46.7,3
31.7,5512.038,1,18.8,1
17.9,1783.18,3,22.1,2
34.8,405.2134,1,41.4,3
6.3,90.45606,9,58.1,3
13.0,492.2313,5,39.3,0
20.4,2469.645,4,23.8,2
13.2,1164.838,4,34.3,3
35.7,579.2083,2,50.5,3
0.0,292.9978,6,70.1,3
17.7,350.8515,1,37.4,3
16.9,368.1363,8,42.3,0
1.5,23.38284,7,47.7,0
4.5,2275.877,3,29.3,2
10.5,279.1726,7,51.6,3
14.7,1360.139,1,24.6,0
10.1,279.1726,7,47.9,3
39.6,480.6977,4,38.8,3
29.3,1487.868,2,27.0,2
3.1,383.8624,5,56.2,3
10.4,276.449,5,33.6,0
19.2,557.478,4,47.0,3
7.1,451.2438,5,57.1,3
25.9,4519.69,0,22.1,1
29.6,769.4034,7,25.0,3
37.9,488.5727,1,34.2,3
16.5,323.655,6,49.3,3
15.4,205.367,7,55.1,3
13.9,4079.418,0,27.3,3
14.7,1935.009,2,22.9,2
12.0,1360.139,1,25.3,0
3.1,577.9615,6,47.7,3
16.2,289.3248,5,46.2,3
13.6,4082.015,0,15.9,1
16.8,4066.587,0,18.2,1
36.1,519.4617,5,34.7,0
34.4,512.7871,6,34.1,3
2.7,533.4762,4,53.9,3
36.6,488.8193,8,38.3,0
21.7,463.9623,9,42.0,0
35.9,640.7391,3,61.5,3
24.2,4605.749,0,13.4,1
29.4,4510.359,1,13.2,1
21.7,512.5487,4,44.2,3
31.3,1758.406,1,20.7,0
32.1,1438.579,3,27.0,2
13.3,492.2313,5,38.9,0
16.1,289.3248,5,51.7,3
31.7,1160.632,0,13.7,0
33.6,371.2495,8,41.9,3
3.5,56.47425,7,53.5,0
30.3,4510.359,1,22.6,1
13.3,336.0532,5,42.4,0
11.0,1931.207,2,21.3,2
5.3,259.6607,6,63.2,3
17.2,2175.877,3,27.7,2
2.6,533.4762,4,55.0,3
17.5,995.7554,0,25.3,0
40.1,123.7429,8,44.3,3
1.0,193.5845,6,50.7,0
8.5,104.8101,5,56.8,0
30.4,464.223,6,36.2,3
12.5,561.9845,5,42.0,3
6.6,90.45606,9,59.0,3
35.5,640.7391,3,40.8,3
32.5,424.5442,8,36.3,3
13.8,4082.015,0,20.0,1
6.8,379.5575,10,54.4,3
12.3,1360.139,1,29.5,0
35.9,616.4004,3,36.8,3
20.5,2185.128,3,25.6,2
38.2,552.4371,2,29.8,3
18.0,1414.837,1,26.5,0
11.8,533.4762,4,40.3,3
30.8,377.7956,6,36.8,0
13.2,150.9347,7,48.1,0
25.3,2707.392,3,17.7,2
15.1,383.2805,7,43.7,0
0.0,338.9679,9,50.8,0
1.8,1455.798,1,27.0,0
16.9,4066.587,0,18.3,1
8.9,1406.43,0,48.0,3
23.0,3947.945,0,25.3,1
0.0,274.0144,1,45.4,3
9.1,1402.016,0,43.2,3
20.6,2469.645,4,21.8,2
31.9,1146.329,0,16.1,0
40.9,167.5989,5,41.0,0
8.0,104.8101,5,51.8,0
6.4,90.45606,9,59.5,3
28.4,617.4424,3,34.6,3
16.4,289.3248,5,51.0,3
6.4,90.45606,9,62.2,3
17.5,964.7496,4,38.2,3
12.7,170.1289,1,32.9,3
1.1,193.5845,6,54.4,0
0.0,208.3905,6,45.7,0
32.7,392.4459,6,30.5,0
0.0,292.9978,6,71.0,3
17.2,189.5181,8,47.1,3
12.2,1360.139,1,26.6,0
31.4,592.5006,2,34.1,3
4.0,2147.376,3,28.4,2
8.1,104.8101,5,51.6,0
33.3,196.6172,7,39.4,3
9.9,2102.427,3,23.1,2
14.8,393.2606,6,7.6,0
30.6,143.8383,8,53.3,3
20.6,737.9161,2,46.4,3
30.9,6396.283,1,12.2,1
13.6,4197.349,0,13.0,1
25.3,1583.722,3,30.6,2
16.6,289.3248,5,59.6,3
13.3,492.2313,5,31.3,0
13.6,492.2313,5,48.0,0
31.5,414.9476,4,32.5,3
0.0,185.4296,0,45.5,3
9.9,279.1726,7,57.4,3
1.1,193.5845,6,48.6,0
38.6,804.6897,4,62.9,3
3.8,383.8624,5,55.0,3
41.3,124.9912,6,60.7,0
38.5,216.8329,7,41.0,3
29.6,535.527,8,37.5,3
4.0,2147.376,3,30.7,2
26.6,482.7581,5,37.5,3
18.0,373.3937,8,39.5,3
33.4,186.9686,6,42.2,0
18.9,1009.235,0,20.8,0
11.4,390.5684,5,46.8,3
13.6,319.0708,6,47.4,0
10.0,942.4664,0,43.5,3
12.9,492.2313,5,42.5,0
16.2,289.3248,5,51.4,3
5.1,1559.827,3,28.9,2
19.8,640.6071,5,37.5,0
13.6,492.2313,5,40.1,0
11.9,1360.139,1,28.4,0
2.1,451.2438,5,45.5,3
0.0,185.4296,0,52.2,3
3.2,489.8821,8,43.2,0
16.4,3780.59,0,45.1,1
34.9,179.4538,8,39.7,3
35.8,170.7311,7,48.5,0
4.9,387.7721,9,44.7,3
12.0,1360.139,1,28.9,0
6.5,376.1709,6,40.9,0
16.9,4066.587,0,20.7,1
13.8,4082.015,0,15.6,1
30.7,1264.73,0,18.3,0
16.1,815.9314,4,35.6,3
11.6,390.5684,5,39.4,3
15.5,815.9314,4,37.4,3
3.5,49.66105,8,57.8,0
19.2,616.4004,3,39.6,3
16.0,4066.587,0,11.6,1
8.5,104.8101,5,55.5,0
0.0,185.4296,0,55.2,3
13.7,1236.564,1,30.6,3
0.0,292.9978,6,73.6,3
28.2,330.0854,8,43.4,3
27.6,515.1122,5,37.4,0
8.4,1962.628,1,23.5,0
24.0,4527.687,0,14.4,1
3.6,383.8624,5,58.8,3
6.6,90.45606,9,58.1,3
41.3,401.8807,4,35.1,3
4.3,432.0385,7,45.2,3
30.2,472.1745,3,36.5,3
13.9,4573.779,0,19.2,1
33.0,181.0766,9,42.0,3
13.1,1144.436,4,36.7,3
14.0,438.8513,1,42.6,3
26.9,4449.27,0,15.5,1
11.6,201.8939,8,55.9,3
13.5,2147.376,3,23.6,2
17.0,4082.015,0,18.8,1
14.1,2615.465,0,21.8,0
31.4,1447.286,3,21.5,2
20.9,2185.128,3,25.7,2
8.9,3078.176,0,22.0,0
34.8,190.0392,8,44.3,3
16.3,4066.587,0,20.5,1
35.3,616.5735,8,42.3,3
13.2,750.0704,2,37.8,3
43.8,57.58945,7,42.7,0
9.7,421.479,5,49.3,3
15.2,3771.895,0,29.3,1
15.2,461.1016,5,34.6,0
22.8,707.9067,2,36.6,3
34.4,126.7286,8,48.2,0
34.0,157.6052,7,39.1,0
18.2,451.6419,8,31.6,0
17.4,995.7554,0,25.5,0
13.1,561.9845,5,45.9,3
38.3,642.6985,3,31.5,3
15.6,289.3248,5,46.1,3
18.0,1414.837,1,26.6,0
12.8,1449.722,3,21.4,2
22.2,379.5575,10,44.0,3
38.5,665.0636,3,34.2,3
11.5,1360.139,1,26.2,0
34.8,175.6294,8,40.9,3
5.2,390.5684,5,52.2,3
0.0,274.0144,1,43.5,3
17.6,1805.665,2,31.1,3
6.2,90.45606,9,58.0,3
18.1,1783.18,3,20.9,2
19.2,383.7129,8,48.1,3
37.8,590.9292,1,39.7,3
28.0,372.6242,6,40.8,3
13.6,492.2313,5,43.8,0
29.3,529.7771,8,40.2,3
37.2,186.5101,9,78.3,3
9.0,1402.016,0,38.5,3
30.6,431.1114,10,48.5,3
9.1,1402.016,0,42.3,3
34.5,324.9419,6,46.0,3
1.1,193.5845,6,49.0,0
16.5,4082.015,0,12.8,1
32.4,265.0609,8,40.2,3
11.9,3171.329,0,46.6,3
31.0,1156.412,0,19.0,0
4.0,2147.376,3,33.4,2
16.2,4074.736,0,14.7,1
27.1,4412.765,1,17.4,1
39.7,333.3679,9,32.4,3
8.0,2216.612,4,23.9,2
12.9,250.631,7,39.3,0
3.6,373.8389,10,61.9,3
13.0,732.8528,0,39.0,3
12.8,732.8528,0,40.6,3
18.1,837.7233,0,29.7,0
11.0,1712.632,2,28.8,2
13.7,250.631,7,41.4,0
2.0,2077.39,3,33.4,2
32.8,204.1705,8,48.2,3
4.8,1559.827,3,21.7,2
7.5,639.6198,5,40.8,3
16.4,389.8219,6,40.6,0
21.7,1055.067,0,23.1,0
19.0,1009.235,0,22.3,0
18.0,6306.153,1,15.0,1
39.2,424.7132,7,30.0,3
31.7,1159.454,0,13.8,0
5.9,90.45606,9,52.7,3
30.4,1735.595,2,25.9,2
1.1,329.9747,5,51.8,3
31.5,5512.038,1,17.4,1
14.6,339.2289,1,26.5,3
17.3,444.1334,1,43.9,3
0.0,292.9978,6,63.3,3
17.7,837.7233,0,28.8,0
17.0,1485.097,4,30.7,2
16.2,2288.011,3,24.4,2
15.9,289.3248,5,53.0,3
3.9,2147.376,3,31.7,2
32.6,493.657,7,40.6,0
15.7,815.9314,4,38.1,3
17.8,1783.18,3,23.7,2
34.7,482.7581,5,41.1,3
17.2,390.5684,5,40.1,3
17.6,837.7233,0,23.0,0
17.7,451.6419,8,26.5,0
13.0,492.2313,5,40.5,0
13.2,170.1289,1,29.3,3
27.5,394.0173,7,41.0,3
1.5,23.38284,7,49.7,0
19.1,461.1016,5,34.0,0
21.2,2185.128,3,27.7,2
0.0,208.3905,6,44.0,0
2.6,1554.25,3,31.1,2
2.3,184.3302,6,45.4,0
4.7,387.7721,9,44.8,3
2.0,1455.798,1,25.6,0
33.5,1978.671,2,23.5,2
15.0,383.2805,7,34.4,0
30.1,718.2937,3,55.3,3
5.9,90.45606,9,56.3,3
19.2,461.1016,5,32.9,0
16.6,323.6912,6,51.0,3
13.9,289.3248,5,44.5,3
37.7,490.3446,0,37.0,3
3.4,56.47425,7,54.4,0
17.5,395.6747,5,24.5,0
12.6,383.2805,7,42.5,0
26.4,335.5273,6,38.1,3
18.2,2179.59,3,21.8,2
12.5,1144.436,4,34.1,3
34.9,567.0349,4,28.5,0
16.7,4082.015,0,16.7,1
33.2,121.7262,10,46.1,3
2.5,156.2442,4,36.9,0
38.0,461.7848,0,35.7,3
16.5,2288.011,3,23.2,2
38.3,439.7105,0,38.4,3
20.0,1626.083,3,29.4,2
16.2,289.3248,5,55.0,3
14.4,169.9803,1,50.2,3
10.3,3079.89,0,24.7,0
16.4,289.3248,5,53.0,3
30.3,1264.73,0,19.1,0
16.4,1643.499,2,24.7,0
21.3,537.7971,4,42.2,3
35.4,318.5292,9,78.0,3
8.3,104.8101,5,42.8,0
3.7,577.9615,6,41.6,3
15.6,1756.411,2,27.3,2
13.3,250.631,7,42.0,0
15.6,752.7669,2,37.5,3
7.1,379.5575,10,49.8,3
34.6,272.6783,5,26.9,0
13.5,4197.349,0,18.6,1
16.9,964.7496,4,37.7,3
12.9,187.4823,1,33.1,3
28.6,197.1338,6,42.5,3
12.4,1712.632,2,31.3,2
36.6,488.8193,8,38.1,0
4.1,56.47425,7,62.1,0
3.5,757.3377,3,36.7,3
15.9,1497.713,3,23.6,2
13.6,4197.349,0,19.2,1
32.0,1156.777,0,12.8,0
25.6,4519.69,0,15.6,1
39.8,617.7134,2,39.6,3
7.8,104.8101,5,38.4,0
30.0,1013.341,5,22.8,3
27.3,337.6016,6,36.5,0
5.1,1867.233,2,35.6,2
31.3,600.8604,5,30.9,0
31.5,258.186,9,36.3,0
1.7,329.9747,5,50.4,3
33.6,270.8895,0,42.9,3
13.0,750.0704,2,37.0,3
5.7,90.45606,9,53.5,3
33.5,563.2854,8,46.6,3
34.6,3085.17,0,41.2,3
0.0,185.4296,0,37.9,3
13.2,1712.632,2,30.8,2
17.4,6488.021,1,11.2,1
4.6,259.6607,6,53.7,3
7.8,104.8101,5,47.0,0
13.2,492.2313,5,42.3,0
4.0,2180.245,3,28.6,2
18.4,2674.961,3,25.7,2
4.1,2147.376,3,31.3,2
12.2,1360.139,1,30.1,0
3.8,383.8624,5,60.7,3
10.3,211.4473,1,45.3,3
0.0,338.9679,9,44.9,0
1.1,193.5845,6,45.1,0
5.6,2408.993,0,24.7,0
32.9,87.30222,10,47.1,3
41.4,281.205,8,63.3,3
17.1,967.4,4,40.0,3
32.3,109.9455,10,48.0,3
35.3,614.1394,7,33.1,3
17.3,2261.432,4,29.5,2
14.2,1801.544,1,24.8,0
15.0,1828.319,2,20.9,2
18.2,350.8515,1,43.1,3
20.2,2185.128,3,22.8,2
15.9,289.3248,5,42.1,3
4.1,312.8963,5,51.7,0
33.9,157.6052,7,41.5,0
0.0,274.0144,1,52.2,3
5.4,390.5684,5,49.5,3
21.7,1157.988,0,23.8,0
14.7,1717.193,2,30.5,2
3.9,49.66105,8,56.8,0
37.3,587.8877,8,37.4,0
0.0,292.9978,6,69.7,3
14.1,289.3248,5,53.3,3
8.0,132.5469,9,47.3,3
16.3,3529.564,0,29.3,1
29.1,506.1144,4,40.3,3
16.1,4066.587,0,12.9,1
18.3,82.88643,10,46.6,3
0.0,185.4296,0,55.3,3
16.2,2103.555,3,25.6,2
10.4,2251.938,4,27.3,2
40.9,122.3619,8,67.7,0
32.8,377.8302,9,38.6,3
6.2,1939.749,1,31.3,0
42.7,443.802,6,35.3,3
16.9,967.4,4,40.3,3
32.6,4136.271,1,24.7,1
21.2,512.5487,4,42.5,3
37.1,918.6357,1,31.9,0
13.1,1164.838,4,32.2,3
14.7,1717.193,2,23.0,2
12.7,170.1289,1,37.3,3
26.8,482.7581,5,35.5,3
7.6,2175.03,3,27.7,2
12.7,187.4823,1,28.5,3
30.9,161.942,9,39.7,3
16.4,289.3248,5,41.2,3
23.0,130.9945,6,37.2,0
1.9,372.1386,7,40.5,3
5.2,2408.993,0,22.3,0
18.5,2175.744,3,28.1,2
13.7,4082.015,0,15.4,1
5.6,90.45606,9,50.0,3
18.8,390.9696,7,40.6,3
8.1,104.8101,5,52.5,0
6.5,90.45606,9,63.9,3
